dhi,dni,ghi,gti,period_end,period
0,0,0,0,2007-01-01T01:00:00+00:00,PT60M
0,0,0,0,2007-01-01T02:00:00+00:00,PT60M
0,0,0,0,2007-01-01T03:00:00+00:00,PT60M
0,0,0,0,2007-01-01T04:00:00+00:00,PT60M
0,0,0,0,2007-01-01T05:00:00+00:00,PT60M
7,31,9,17,2007-01-01T06:00:00+00:00,PT60M
52,381,113,227,2007-01-01T07:00:00+00:00,PT60M
85,558,248,434,2007-01-01T08:00:00+00:00,PT60M
92,715,362,614,2007-01-01T09:00:00+00:00,PT60M
87,802,431,720,2007-01-01T10:00:00+00:00,PT60M
84,815,438,731,2007-01-01T11:00:00+00:00,PT60M
77,793,388,663,2007-01-01T12:00:00+00:00,PT60M
67,717,286,520,2007-01-01T13:00:00+00:00,PT60M
47,553,149,313,2007-01-01T14:00:00+00:00,PT60M
12,115,22,53,2007-01-01T15:00:00+00:00,PT60M
0,0,0,0,2007-01-01T16:00:00+00:00,PT60M
0,0,0,0,2007-01-01T17:00:00+00:00,PT60M
0,0,0,0,2007-01-01T18:00:00+00:00,PT60M
0,0,0,0,2007-01-01T19:00:00+00:00,PT60M
0,0,0,0,2007-01-01T20:00:00+00:00,PT60M
0,0,0,0,2007-01-01T21:00:00+00:00,PT60M
0,0,0,0,2007-01-01T22:00:00+00:00,PT60M
0,0,0,0,2007-01-01T23:00:00+00:00,PT60M
0,0,0,0,2007-01-02T00:00:00+00:00,PT60M
0,0,0,0,2007-01-02T01:00:00+00:00,PT60M
0,0,0,0,2007-01-02T02:00:00+00:00,PT60M
0,0,0,0,2007-01-02T03:00:00+00:00,PT60M
0,0,0,0,2007-01-02T04:00:00+00:00,PT60M
0,0,0,0,2007-01-02T05:00:00+00:00,PT60M
7,28,10,17,2007-01-02T06:00:00+00:00,PT60M
59,302,110,203,2007-01-02T07:00:00+00:00,PT60M
104,436,233,380,2007-01-02T08:00:00+00:00,PT60M
115,616,346,567,2007-01-02T09:00:00+00:00,PT60M
234,72,264,288,2007-01-02T10:00:00+00:00,PT60M
210,310,344,467,2007-01-02T11:00:00+00:00,PT60M
117,604,358,574,2007-01-02T12:00:00+00:00,PT60M
153,0,153,148,2007-01-02T13:00:00+00:00,PT60M
80,0,80,78,2007-01-02T14:00:00+00:00,PT60M
11,0,11,10,2007-01-02T15:00:00+00:00,PT60M
0,0,0,0,2007-01-02T16:00:00+00:00,PT60M
0,0,0,0,2007-01-02T17:00:00+00:00,PT60M
0,0,0,0,2007-01-02T18:00:00+00:00,PT60M
0,0,0,0,2007-01-02T19:00:00+00:00,PT60M
0,0,0,0,2007-01-02T20:00:00+00:00,PT60M
0,0,0,0,2007-01-02T21:00:00+00:00,PT60M
0,0,0,0,2007-01-02T22:00:00+00:00,PT60M
0,0,0,0,2007-01-02T23:00:00+00:00,PT60M
0,0,0,0,2007-01-03T00:00:00+00:00,PT60M
0,0,0,0,2007-01-03T01:00:00+00:00,PT60M
0,0,0,0,2007-01-03T02:00:00+00:00,PT60M
0,0,0,0,2007-01-03T03:00:00+00:00,PT60M
0,0,0,0,2007-01-03T04:00:00+00:00,PT60M
0,0,0,0,2007-01-03T05:00:00+00:00,PT60M
1,0,1,1,2007-01-03T06:00:00+00:00,PT60M
23,0,23,22,2007-01-03T07:00:00+00:00,PT60M
69,0,69,66,2007-01-03T08:00:00+00:00,PT60M
37,0,37,36,2007-01-03T09:00:00+00:00,PT60M
47,0,47,46,2007-01-03T10:00:00+00:00,PT60M
67,0,67,64,2007-01-03T11:00:00+00:00,PT60M
94,0,94,91,2007-01-03T12:00:00+00:00,PT60M
74,0,74,72,2007-01-03T13:00:00+00:00,PT60M
40,0,40,39,2007-01-03T14:00:00+00:00,PT60M
11,0,11,11,2007-01-03T15:00:00+00:00,PT60M
0,0,0,0,2007-01-03T16:00:00+00:00,PT60M
0,0,0,0,2007-01-03T17:00:00+00:00,PT60M
0,0,0,0,2007-01-03T18:00:00+00:00,PT60M
0,0,0,0,2007-01-03T19:00:00+00:00,PT60M
0,0,0,0,2007-01-03T20:00:00+00:00,PT60M
0,0,0,0,2007-01-03T21:00:00+00:00,PT60M
0,0,0,0,2007-01-03T22:00:00+00:00,PT60M
0,0,0,0,2007-01-03T23:00:00+00:00,PT60M
0,0,0,0,2007-01-04T00:00:00+00:00,PT60M
0,0,0,0,2007-01-04T01:00:00+00:00,PT60M
0,0,0,0,2007-01-04T02:00:00+00:00,PT60M
0,0,0,0,2007-01-04T03:00:00+00:00,PT60M
0,0,0,0,2007-01-04T04:00:00+00:00,PT60M
0,0,0,0,2007-01-04T05:00:00+00:00,PT60M
1,0,1,1,2007-01-04T06:00:00+00:00,PT60M
31,0,31,29,2007-01-04T07:00:00+00:00,PT60M
122,0,122,117,2007-01-04T08:00:00+00:00,PT60M
161,324,290,407,2007-01-04T09:00:00+00:00,PT60M
211,239,314,403,2007-01-04T10:00:00+00:00,PT60M
163,501,382,578,2007-01-04T11:00:00+00:00,PT60M
124,576,355,566,2007-01-04T12:00:00+00:00,PT60M
150,234,223,306,2007-01-04T13:00:00+00:00,PT60M
86,18,89,92,2007-01-04T14:00:00+00:00,PT60M
16,0,16,16,2007-01-04T15:00:00+00:00,PT60M
0,0,0,0,2007-01-04T16:00:00+00:00,PT60M
0,0,0,0,2007-01-04T17:00:00+00:00,PT60M
0,0,0,0,2007-01-04T18:00:00+00:00,PT60M
0,0,0,0,2007-01-04T19:00:00+00:00,PT60M
0,0,0,0,2007-01-04T20:00:00+00:00,PT60M
0,0,0,0,2007-01-04T21:00:00+00:00,PT60M
0,0,0,0,2007-01-04T22:00:00+00:00,PT60M
0,0,0,0,2007-01-04T23:00:00+00:00,PT60M
0,0,0,0,2007-01-05T00:00:00+00:00,PT60M
0,0,0,0,2007-01-05T01:00:00+00:00,PT60M
0,0,0,0,2007-01-05T02:00:00+00:00,PT60M
0,0,0,0,2007-01-05T03:00:00+00:00,PT60M
0,0,0,0,2007-01-05T04:00:00+00:00,PT60M
0,0,0,0,2007-01-05T05:00:00+00:00,PT60M
7,16,8,12,2007-01-05T06:00:00+00:00,PT60M
37,0,37,36,2007-01-05T07:00:00+00:00,PT60M
98,0,98,95,2007-01-05T08:00:00+00:00,PT60M
197,10,201,199,2007-01-05T09:00:00+00:00,PT60M
185,14,191,191,2007-01-05T10:00:00+00:00,PT60M
122,0,122,118,2007-01-05T11:00:00+00:00,PT60M
95,0,95,92,2007-01-05T12:00:00+00:00,PT60M
88,0,88,85,2007-01-05T13:00:00+00:00,PT60M
87,16,89,91,2007-01-05T14:00:00+00:00,PT60M
